NX,rho0,V_solid,V_analytic,F_mean,F_std,M_measured,M_std,M_displaced,C_added,time_s
128,0.6,30976,31532.20170895237,1.3098810234417517,0.3583173013417235,65494.05117208758,17915.865067086175,18585.6,3.5239137381675913,9.744527101516724
128,0.8,30976,31532.20170895237,1.7470782915254435,0.4783599076312988,87353.91457627216,23917.99538156494,24780.800000000003,3.5250643472475525,9.80630874633789
128,1.0,30976,31532.20170895237,2.183889483610789,0.5980216868186732,109194.47418053944,29901.084340933656,30976.0,3.5251315270060513,11.235219717025757
128,1.2,30976,31532.20170895237,2.6197649649282297,0.7166362302822695,130988.24824641147,35831.81151411348,37171.2,3.5239176633095375,9.812589645385742
128,1.4,30976,31532.20170895237,3.057495334694783,0.8371452834817591,152874.76673473913,41857.26417408795,43366.399999999994,3.5251892417802524,9.819467067718506
128,1.6,30976,31532.20170895237,3.494157097786665,0.9567208215702794,174707.85488933322,47836.04107851397,49561.600000000006,3.5250648665364555,9.81284499168396
128,1.8,30976,31532.20170895237,3.930987877547741,1.0763965142548535,196549.39387738705,53819.82571274267,55756.8,3.525119696205432,11.051713228225708
128,2.0,30976,31532.20170895237,4.367777589360873,1.1960453056283844,218388.87946804365,59802.26528141922,61952.0,3.5251304149671303,9.578425645828247
192,0.2,105612,106421.18076771424,1.1067569691687822,0.2642452957945213,55337.848458439104,13212.264789726063,21122.4,2.619865567285872,35.792142391204834
192,0.4,105612,106421.18076771424,2.213514110619823,0.528490256917063,110675.70553099114,26424.512845853147,42244.8,2.619865771195298,35.331501722335815
192,0.6,105612,106421.18076771424,3.320166837821404,0.7925751523730943,166008.3418910702,39628.75761865471,63367.2,2.619783450918933,35.36883902549744
192,0.8,105612,106421.18076771424,4.427028103172779,1.0569802163221385,221351.40515863893,52849.01081610692,84489.6,2.619865701324647,35.40408897399902
192,1.0,105612,106421.18076771424,5.533584821075201,1.3210065249567913,276679.24105376005,66050.32624783956,105612.0,2.6197708693496957,35.392239809036255
192,1.2,105612,106421.18076771424,6.64033369153738,1.585149453705469,332016.684576869,79257.47268527343,126734.4,2.619783457189753,35.342684507369995
192,1.4,105612,106421.18076771424,7.747441270152728,1.8497676686751565,387372.06350763637,92488.38343375782,147856.8,2.619913751059379,35.3905348777771
192,1.6,105612,106421.18076771424,8.854056165317694,2.1139611127267695,442702.80826588464,105698.05563633847,168979.2,2.619865689184732,35.38687348365784
192,1.8,105612,106421.18076771424,9.96027515520652,2.377760298158143,498013.75776032597,118888.01490790714,190101.6,2.619724177809792,36.99808120727539
192,2.0,105612,106421.18076771424,11.067170092761517,2.642013930929098,553358.5046380758,132100.69654645488,211224.0,2.619770976016342,35.401578187942505
256,0.2,250836,252257.61367161895,2.2079676000028847,0.4807167946572654,110398.38000014423,24035.839732863267,50167.200000000004,2.200608764295082,85.55171942710876
256,0.4,250836,252257.61367161895,4.415934062798818,0.9614333204079681,220796.70313994086,48071.66602039841,100334.40000000001,2.2006081975866785,87.60895609855652
256,0.6,250836,252257.61367161895,6.623986729979515,1.4420338734304592,331199.33649897575,72101.69367152295,150501.6,2.200636647709896,85.07494783401489
256,0.8,250836,252257.61367161895,8.831871200402578,1.9228629764123366,441593.56002012885,96143.14882061683,200668.80000000002,2.2006089637259443,87.79024124145508
256,1.0,250836,252257.61367161895,11.039874515334764,2.403627434327791,551993.7257667382,120181.37171638953,250836.0,2.200616043019097,85.27785873413086
256,1.2,250836,252257.61367161895,13.247972068389258,2.884065556963345,662398.6034194628,144203.27784816723,301003.2,2.200636416554584,87.23755383491516
256,1.4,250836,252257.61367161895,15.455777838428816,3.364972397390865,772788.8919214407,168248.61986954324,351170.39999999997,2.2006094247164363,85.34368538856506
256,1.6,250836,252257.61367161895,17.663740371068318,3.845726858105523,883187.0185534158,192286.34290527613,401337.60000000003,2.200608710854442,87.35184931755066
256,1.8,250836,252257.61367161895,19.87148342291514,4.3264744450979356,993574.171145757,216323.72225489677,451504.8,2.200583850151221,85.67328524589539
256,2.0,250836,252257.61367161895,22.07974798321724,4.8072384165076,1103987.3991608617,240361.92082538,501672.0,2.2006159386229682,87.21696949005127
