freq,omega,power,mass_GeV
0.19218750,1.20754968,1.02214867e-03,1281.2500
0.19296875,1.21245841,9.14230904e-04,1286.4583
0.19375000,1.21736715,8.88052459e-04,1291.6667
0.19453125,1.22227589,9.49463850e-04,1296.8750
0.19531250,1.22718463,1.10900936e-03,1302.0833
0.19609375,1.23209337,1.37536934e-03,1307.2917
0.19687500,1.23700211,1.75021494e-03,1312.5000
0.19765625,1.24191085,2.22441602e-03,1317.7083
0.19843750,1.24681958,2.77557608e-03,1322.9167
0.19921875,1.25172832,3.36726020e-03,1328.1250
0.20000000,1.25663706,3.95062637e-03,1333.3333
0.20078125,1.26154580,4.46910526e-03,1338.5417
0.20156250,1.26645454,4.86615685e-03,1343.7500
0.20234375,1.27136328,5.09512022e-03,1348.9583
0.20312500,1.27627202,5.12916245e-03,1354.1667
0.20390625,1.28118075,4.96879639e-03,1359.3750
0.20468750,1.28608949,4.64470685e-03,1364.5833
0.20546875,1.29099823,4.21473129e-03,1369.7917
0.20625000,1.29590697,3.75546691e-03,1375.0000
0.20703125,1.30081571,3.35056488e-03,1380.2083
0.20781250,1.30572445,3.07873686e-03,1385.4167
0.20859375,1.31063319,3.00445966e-03,1390.6250
0.20937500,1.31554192,3.17331080e-03,1395.8333
0.21015625,1.32045066,3.61217793e-03,1401.0417
0.21093750,1.32535940,4.33289614e-03,1406.2500
0.21171875,1.33026814,5.33682903e-03,1411.4583
0.21250000,1.33517688,6.61793828e-03,1416.6667
0.21328125,1.34008562,8.16297929e-03,1421.8750
0.21406250,1.34499435,9.94917753e-03,1427.0833
0.21484375,1.34990309,1.19413482e-02,1432.2917
0.21562500,1.35481183,1.40911687e-02,1437.5000
0.21640625,1.35972057,1.63407425e-02,1442.7083
0.21718750,1.36462931,1.86307706e-02,1447.9167
0.21796875,1.36953805,2.09112067e-02,1453.1250
0.21875000,1.37444679,2.31502412e-02,1458.3333
0.21953125,1.37935552,2.53368588e-02,1463.5417
0.22031250,1.38426426,2.74736440e-02,1468.7500
0.22109375,1.38917300,2.95597985e-02,1473.9583
0.22187500,1.39408174,3.15684641e-02,1479.1667
0.22265625,1.39899048,3.34258761e-02,1484.3750
0.22343750,1.40389922,3.50010484e-02,1489.5833
0.22421875,1.40880796,3.61127448e-02,1494.7917
0.22500000,1.41371669,3.65556640e-02,1500.0000
0.22578125,1.41862543,3.61414861e-02,1505.2083
0.22656250,1.42353417,3.47448662e-02,1510.4167
0.22734375,1.42844291,3.23417281e-02,1515.6250
0.22812500,1.43335165,2.90285272e-02,1520.8333
0.22890625,1.43826039,2.50162833e-02,1526.0417
0.22968750,1.44316913,2.06004617e-02,1531.2500
0.23046875,1.44807786,1.61147026e-02,1536.4583
0.23125000,1.45298660,1.18805914e-02,1541.6667
0.23203125,1.45789534,8.16580194e-03,1546.8750
0.23281250,1.46280408,5.15924525e-03,1552.0833
0.23359375,1.46771282,2.96593622e-03,1557.2917
0.23437500,1.47262156,1.61841750e-03,1562.5000
0.23515625,1.47753029,1.09773891e-03,1567.7083
0.23593750,1.48243903,1.35609952e-03,1572.9167
0.23671875,1.48734777,2.33494043e-03,1578.1250
0.23750000,1.49225651,3.97522810e-03,1583.3333
0.23828125,1.49716525,6.21942028e-03,1588.5417
0.23906250,1.50207399,9.00626727e-03,1593.7500
0.23984375,1.50698273,1.22601949e-02,1598.9583
0.24062500,1.51189146,1.58772803e-02,1604.1667
0.24140625,1.51680020,1.97105760e-02,1609.3750
0.24218750,1.52170894,2.35589780e-02,1614.5833
0.24296875,1.52661768,2.71652651e-02,1619.7917
0.24375000,1.53152642,3.02290323e-02,1625.0000
0.24453125,1.53643516,3.24378008e-02,1630.2083
0.24531250,1.54134390,3.35144173e-02,1635.4167
0.24609375,1.54625263,3.32722541e-02,1640.6250
0.24687500,1.55116137,3.16641942e-02,1645.8333
0.24765625,1.55607011,2.88097096e-02,1651.0417
0.24843750,1.56097885,2.49882008e-02,1656.2500
0.24921875,1.56588759,2.05957739e-02,1661.4583
0.25000000,1.57079633,1.60740998e-02,1666.6667
0.25078125,1.57570507,1.18298038e-02,1671.8750
0.25156250,1.58061380,8.16698970e-03,1677.0833
0.25234375,1.58552254,5.25192616e-03,1682.2917
0.25312500,1.59043128,3.11841890e-03,1687.5000
0.25390625,1.59534002,1.70861048e-03,1692.7083
0.25468750,1.60024876,9.31986984e-04,1697.9167
0.25546875,1.60515750,7.19816675e-04,1703.1250
0.25625000,1.61006623,1.05525381e-03,1708.3333
0.25703125,1.61497497,1.96972672e-03,1713.5417
0.25781250,1.61988371,3.50988500e-03,1718.7500
0.25859375,1.62479245,5.69091784e-03,1723.9583
0.25937500,1.62970119,8.45697969e-03,1729.1667
0.26015625,1.63460993,1.16659739e-02,1734.3750
0.26093750,1.63951867,1.51056432e-02,1739.5833
0.26171875,1.64442740,1.85350859e-02,1744.7917
0.26250000,1.64933614,2.17356614e-02,1750.0000
0.26328125,1.65424488,2.45517712e-02,1755.2083
0.26406250,1.65915362,2.69064435e-02,1760.4167
0.26484375,1.66406236,2.87870581e-02,1765.6250
0.26562500,1.66897110,3.02086567e-02,1770.8333
0.26640625,1.67387984,3.11712745e-02,1776.0417
0.26718750,1.67878857,3.16301299e-02,1781.2500
0.26796875,1.68369731,3.14924986e-02,1786.4583
0.26875000,1.68860605,3.06447268e-02,1791.6667
0.26953125,1.69351479,2.90010980e-02,1796.8750
0.27031250,1.69842353,2.65575436e-02,1802.0833
0.27109375,1.70333227,2.34305701e-02,1807.2917
0.27187500,1.70824101,1.98660487e-02,1812.5000
0.27265625,1.71314974,1.62119885e-02,1817.7083
0.27343750,1.71805848,1.28607060e-02,1822.9167
0.27421875,1.72296722,1.01751269e-02,1828.1250
0.27500000,1.72787596,8.41844454e-03,1833.3333
0.27578125,1.73278470,7.70494296e-03,1838.5417
0.27656250,1.73769344,7.98334256e-03,1843.7500
0.27734375,1.74260218,9.05491444e-03,1848.9583
0.27812500,1.74751091,1.06197103e-02,1854.1667
0.27890625,1.75241965,1.23380633e-02,1859.3750
